x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0.692,0.692,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.69,0.69,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.692,0.692,0.693,0.693,0.693,0.693,0.693,0.693,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.697,0.697,0.697,0.698,0.698,0.698,0.698,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696
0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.665,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.665,0.665,0.665,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.666,0.666,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.668,0.668,0.668,0.668,0.668,0.668
0.669,0.669,0.668,0.669,0.669,0.669,0.67,0.67,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.671,0.672,0.672,0.672,0.672,0.671,0.671,0.671,0.672,0.672,0.672,0.671,0.671,0.671,0.671,0.672,0.672,0.672,0.672,0.672,0.672,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.671,0.67,0.67,0.67,0.67,0.67,0.67,0.67
0.649,0.649,0.649,0.649,0.649,0.649,0.65,0.651,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.653,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.655,0.654,0.654,0.654,0.654,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.655,0.655,0.655
0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.71,0.71,0.71,0.71,0.709,0.709,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.709,0.709,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.709,0.709,0.709,0.709,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.709,0.709
0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.7,0.7,0.7,0.701,0.701,0.7,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.667,0.666,0.667,0.667,0.667,0.667,0.667,0.667
0.677,0.677,0.677,0.677,0.677,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.676,0.676,0.676,0.676,0.676,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.677,0.677,0.677,0.677,0.677,0.677,0.676
0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.684,0.684,0.683,0.683,0.683,0.683,0.683,0.683,0.684,0.683,0.683,0.683,0.683,0.683,0.682,0.682,0.682,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.684,0.684,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.681,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.683,0.683,0.683
0.648,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.648,0.648,0.648,0.648,0.648,0.648,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.645,0.645,0.645,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.643,0.643,0.643,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.644,0.644,0.644,0.644,0.644,0.645,0.644,0.644,0.644,0.644,0.644,0.643,0.643,0.643
0.642,0.642,0.642,0.643,0.643,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.641,0.641,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.641,0.641,0.641,0.641,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.641,0.64,0.639,0.639,0.639,0.639,0.638,0.638,0.638,0.638,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.638,0.638,0.638,0.637,0.637,0.637,0.637,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638
0.695,0.695,0.695,0.695,0.695,0.695,0.696,0.696,0.696,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.696,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.696,0.696,0.696,0.696,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.696,0.696,0.696,0.697,0.697,0.698,0.698,0.698,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696
0.668,0.668,0.668,0.669,0.669,0.669,0.669,0.669,0.668,0.668,0.668,0.668,0.668,0.668,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.668,0.668,0.668,0.668,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669
0.629,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.627,0.627,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626
0.679,0.679,0.679,0.679,0.68,0.68,0.68,0.68,0.681,0.681,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.681,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.679,0.679,0.679,0.679,0.679,0.679,0.678,0.678,0.678,0.678,0.679,0.679,0.679,0.679,0.679,0.679,0.679,0.679,0.679,0.679,0.679,0.679,0.679,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.679,0.679,0.679,0.679,0.679,0.679,0.679,0.678,0.679,0.679
0.645,0.645,0.646,0.646,0.646,0.646,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.646,0.646,0.645,0.645,0.645,0.645,0.646,0.646,0.646,0.647,0.646,0.646,0.646,0.647,0.647,0.646,0.646,0.646,0.646,0.647,0.647,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.65,0.65,0.651,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.65,0.65,0.649,0.649,0.649,0.65
0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.687,0.687,0.687,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.687,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686
0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.657,0.657,0.657,0.657,0.657,0.657,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.657,0.657,0.657,0.657,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.657,0.657,0.657,0.657,0.657,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658
0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.697,0.697,0.697,0.697,0.697,0.697,0.698,0.698,0.698,0.698,0.698,0.699,0.7,0.7,0.7,0.7,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.702,0.702,0.702,0.702,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.704,0.704,0.704,0.704,0.704,0.704,0.705,0.705,0.705,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704
0.701,0.701,0.701,0.701,0.701,0.701,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.702,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.7,0.7,0.701,0.7,0.7,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.702,0.703,0.703,0.703,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704
0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.699,0.699,0.699,0.699,0.7,0.7,0.7,0.7,0.699,0.699,0.699,0.699,0.698,0.698,0.699,0.699,0.699,0.699,0.699,0.699,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697
0.685,0.685,0.685,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.684,0.684,0.684,0.684,0.684,0.684,0.685,0.685,0.685,0.685,0.684,0.684,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.682,0.682,0.682,0.682,0.682,0.683,0.683,0.682,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.682,0.681,0.681,0.681,0.681,0.681,0.681,0.68,0.679,0.679,0.679,0.679,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678
0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.665,0.665,0.665,0.665,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.662,0.662,0.662,0.662,0.662,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.66,0.66,0.66
0.667,0.667,0.667,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.667,0.668,0.668,0.668,0.668,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.668,0.668,0.668,0.668,0.669,0.669,0.669,0.669,0.669,0.669,0.67,0.67,0.67,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.67,0.67,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671
0.693,0.693,0.693,0.693,0.693,0.693,0.693,0.693,0.693,0.693,0.693,0.693,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.69,0.69,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.692,0.692
0.685,0.685,0.685,0.685,0.686,0.686,0.686,0.686,0.686,0.686,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.688,0.688,0.688,0.688,0.688,0.688,0.687,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.687,0.687,0.686,0.686,0.686,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.684,0.684,0.684,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685
0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.699,0.698,0.698,0.698,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.7,0.7,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701
0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.709,0.709,0.709,0.709,0.709,0.709,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.709,0.709,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.711,0.711,0.711,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.709,0.709,0.709,0.709,0.709,0.709,0.708,0.708,0.708,0.708,0.708,0.708,0.708
0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.657,0.657,0.657,0.658,0.658,0.658,0.658,0.657,0.657,0.657,0.657,0.657,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.654,0.654,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.652,0.652,0.652,0.652,0.652,0.652,0.652
0.724,0.724,0.724,0.724,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.724,0.723,0.722,0.722
0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.653,0.653,0.653,0.653,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.653,0.653,0.653,0.654,0.654,0.654,0.654,0.653,0.653,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.655,0.655,0.655,0.655,0.655,0.655,0.654,0.654,0.654,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.654,0.654,0.654,0.654,0.654,0.654,0.655,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654
0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.673,0.673,0.673,0.673,0.673,0.673,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.673,0.673,0.673,0.673,0.673,0.673,0.673,0.673,0.674,0.674,0.674,0.674,0.674,0.673,0.673,0.673,0.673,0.673,0.673,0.673,0.672,0.672,0.672,0.672,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.672,0.672,0.672,0.672,0.672,0.672,0.671,0.671,0.671,0.672,0.672,0.672,0.672,0.672,0.672,0.672
0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.733,0.733,0.734,0.734,0.734,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.737,0.737,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.737,0.737,0.737,0.737,0.737,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.738
